cohort,set_a,set_b,n,jaccard_measured_clean_audit,shared,rho_clean_audit,n_a_declared,n_b_declared,n_shared_declared,jaccard_declared,n_shared_measured,jaccard_measured,n_shared_measured_clean,jaccard_measured_clean_upstream,rho_raw,n_obs_raw,rho_clean_upstream,n_obs_clean,rho_abs_error,jaccard_abs_error
GSE17538,ferroptosis,oxstress,232,0.0285103349964362,40,0.9016210221626824,1679,132,42,0.0237422272470322,41,0.029140014214641,40,0.0285103349964362,0.9044655950827326,232,0.9016210221626824,232,0.0,1.0408340855860844e-17
GSE17538,apoptosis,necroptosis,232,0.1037344398340249,25,0.8941559402562804,138,168,26,0.0928571428571428,26,0.1069958847736625,25,0.1037344398340249,0.8946700775914922,232,0.8941559402562804,232,0.0,0.0
GSE17538,apoptosis,parthanatos,232,0.0520833333333333,10,0.8764974850515769,138,78,11,0.0536585365853658,11,0.056701030927835,10,0.0520833333333333,0.8818464353465092,232,0.8764974850515769,232,0.0,3.4694469519536136e-17
GSE17538,apoptosis,mitophagy,232,0.064516129032258,14,0.8278706641885565,138,104,14,0.0614035087719298,14,0.0639269406392694,14,0.064516129032258,0.8325449894193417,232,0.8278706641885565,232,0.0,6.938893903907227e-17
GSE17538,apoptosis,oxstress,232,0.0267857142857142,6,0.8498267309130115,138,132,6,0.0227272727272727,6,0.026431718061674,6,0.0267857142857142,0.8534343412987779,232,0.8498267309130115,232,0.0,8.326672684688674e-17
GSE17538,necroptosis,parthanatos,232,0.0526315789473684,10,0.8006031263393997,168,78,11,0.0468085106382978,11,0.0569948186528497,10,0.0526315789473684,0.8052063372471835,232,0.8006031263393997,232,0.0,2.0816681711721685e-17
GSE17538,necroptosis,mitophagy,232,0.0223214285714285,5,0.7635948482478006,168,104,6,0.0225563909774436,6,0.0265486725663716,5,0.0223214285714285,0.7687112354864315,232,0.7635948482478006,232,0.0,7.28583859910259e-17
GSE17538,necroptosis,oxstress,232,0.0133333333333333,3,0.7570629015796988,168,132,3,0.0101010101010101,3,0.0131004366812227,3,0.0133333333333333,0.7660944206008582,232,0.7570629015796988,232,0.0,3.4694469519536136e-17
GSE17538,parthanatos,mitophagy,232,0.0377358490566037,6,0.855460138499949,78,104,6,0.034090909090909,6,0.037037037037037,6,0.0377358490566037,0.8575628160503104,232,0.855460138499949,232,0.0,6.938893903907227e-17
GSE17538,parthanatos,oxstress,232,0.0718954248366013,11,0.8859162888317837,78,132,11,0.0552763819095477,11,0.0700636942675159,11,0.0718954248366013,0.8892673110521266,232,0.8859162888317837,232,0.0,0.0
GSE17538,mitophagy,oxstress,232,0.0320855614973262,6,0.9026483358287412,104,132,7,0.0305676855895196,6,0.031578947368421,6,0.0320855614973262,0.9079002246828204,232,0.9026483358287412,232,0.0,6.938893903907228e-18
